date,value
2014-12-29,2242.0
2014-12-30,2077.0
2014-12-31,1872.0
2015-01-01,1432.0
2015-01-02,1784.0
2015-01-03,1831.0
2015-01-04,2443.0
2015-01-05,1743.0
2015-01-06,1412.0
2015-01-07,1315.0
2015-01-08,1065.0
2015-01-09,1198.0
2015-01-10,2014.0
2015-01-11,2415.0
2015-01-12,1727.0
2015-01-13,1354.0
2015-01-14,1458.0
2015-01-15,1214.0
2015-01-16,1466.0
2015-01-17,1480.0
2015-01-18,2345.0
2015-01-19,1729.0
2015-01-20,1493.0
2015-01-21,1357.0
2015-01-22,1390.0
2015-01-23,1355.0
2015-01-24,1440.0
2015-01-25,2437.0
2015-01-26,1703.0
2015-01-27,1290.0
2015-01-28,1272.0
2015-01-29,1254.0
2015-01-30,1278.0
2015-01-31,1478.0
2015-02-01,2005.0
2015-02-02,1552.0
2015-02-03,1593.0
2015-02-04,1474.0
2015-02-05,1355.0
2015-02-06,1487.0
2015-02-07,1571.0
2015-02-08,2039.0
2015-02-09,1719.0
2015-02-10,1587.0
2015-02-11,1239.0
2015-02-12,1124.0
2015-02-13,1285.0
2015-02-14,1144.0
2015-02-15,2016.0
2015-02-16,1846.0
2015-02-17,1405.0
2015-02-18,1270.0
2015-02-19,1158.0
2015-02-20,1217.0
2015-02-21,1494.0
2015-02-22,2346.0
2015-02-23,1769.0
2015-02-24,1406.0
2015-02-25,1388.0
2015-02-26,1061.0
2015-02-27,1306.0
2015-02-28,1775.0
2015-03-01,2566.0
2015-03-02,1933.0
2015-03-03,1479.0
2015-03-04,1475.0
2015-03-05,1393.0
2015-03-06,1101.0
2015-03-07,1423.0
2015-03-08,2086.0
2015-03-09,1832.0
2015-03-10,1351.0
2015-03-11,1151.0
2015-03-12,1031.0
2015-03-13,1319.0
2015-03-14,1272.0
2015-03-15,1684.0
2015-03-16,1265.0
2015-03-17,1222.0
2015-03-18,1465.0
2015-03-19,1185.0
2015-03-20,1090.0
2015-03-21,1276.0
2015-03-22,2057.0
2015-03-23,1561.0
2015-03-24,1449.0
2015-03-25,1136.0
2015-03-26,992.0
2015-03-27,957.0
2015-03-28,1186.0
2015-03-29,1642.0
2015-03-30,1441.0
2015-03-31,1122.0
2015-04-01,1195.0
2015-04-02,1341.0
2015-04-03,1303.0
2015-04-04,1683.0
2015-04-05,2087.0
2015-04-06,1903.0
2015-04-07,1516.0
2015-04-08,1587.0
2015-04-09,1444.0
2015-04-10,1509.0
2015-04-11,1549.0
2015-04-12,2180.0
2015-04-13,1476.0
2015-04-14,1179.0
2015-04-15,1029.0
2015-04-16,1185.0
2015-04-17,1105.0
2015-04-18,1265.0
2015-04-19,2141.0
2015-04-20,1459.0
2015-04-21,1511.0
2015-04-22,1316.0
2015-04-23,1067.0
2015-04-24,1232.0
2015-04-25,1534.0
2015-04-26,2346.0
2015-04-27,1847.0
2015-04-28,1504.0
2015-04-29,1135.0
2015-04-30,923.0
2015-05-01,1033.0
2015-05-02,1198.0
2015-05-03,2105.0
2015-05-04,1835.0
2015-05-05,1446.0
2015-05-06,1443.0
2015-05-07,1668.0
2015-05-08,1541.0
2015-05-09,1438.0
2015-05-10,1937.0
2015-05-11,1851.0
2015-05-12,1430.0
2015-05-13,1423.0
2015-05-14,1701.0
2015-05-15,1784.0
2015-05-16,1283.0
2015-05-17,1933.0
2015-05-18,1619.0
2015-05-19,1180.0
2015-05-20,1180.0
2015-05-21,1008.0
2015-05-22,1462.0
2015-05-23,1310.0
2015-05-24,1656.0
2015-05-25,2044.0
2015-05-26,1436.0
2015-05-27,1215.0
2015-05-28,1186.0
2015-05-29,1144.0
2015-05-30,1299.0
2015-05-31,2366.0
2015-06-01,1683.0
2015-06-02,1461.0
2015-06-03,1453.0
2015-06-04,1473.0
2015-06-05,1214.0
2015-06-06,1733.0
2015-06-07,2171.0
2015-06-08,1911.0
2015-06-09,1165.0
2015-06-10,1331.0
2015-06-11,1253.0
2015-06-12,1303.0
2015-06-13,1505.0
2015-06-14,1885.0
2015-06-15,1748.0
2015-06-16,1083.0
2015-06-17,1106.0
2015-06-18,1360.0
2015-06-19,1441.0
2015-06-20,1364.0
2015-06-21,1908.0
2015-06-22,1575.0
2015-06-23,1421.0
2015-06-24,1043.0
2015-06-25,1216.0
2015-06-26,1177.0
2015-06-27,1439.0
2015-06-28,2091.0
2015-06-29,1725.0
2015-06-30,1263.0
2015-07-01,1315.0
2015-07-02,1243.0
2015-07-03,1405.0
2015-07-04,1491.0
2015-07-05,2076.0
2015-07-06,1953.0
2015-07-07,1435.0
2015-07-08,1384.0
2015-07-09,1434.0
2015-07-10,1247.0
2015-07-11,1353.0
2015-07-12,1899.0
2015-07-13,1937.0
2015-07-14,1257.0
2015-07-15,1224.0
2015-07-16,1368.0
2015-07-17,1183.0
2015-07-18,1728.0
2015-07-19,1907.0
2015-07-20,1739.0
2015-07-21,1540.0
2015-07-22,1275.0
2015-07-23,1261.0
2015-07-24,1232.0
2015-07-25,1264.0
2015-07-26,2165.0
2015-07-27,1886.0
2015-07-28,1318.0
2015-07-29,1256.0
2015-07-30,1147.0
2015-07-31,1128.0
2015-08-01,1713.0
2015-08-02,1977.0
2015-08-03,1812.0
2015-08-04,1734.0
2015-08-05,1265.0
2015-08-06,1428.0
2015-08-07,1264.0
2015-08-08,1686.0
2015-08-09,2433.0
2015-08-10,1918.0
2015-08-11,1541.0
2015-08-12,1302.0
2015-08-13,1189.0
2015-08-14,1201.0
2015-08-15,1396.0
2015-08-16,1811.0
2015-08-17,1936.0
2015-08-18,1454.0
2015-08-19,1323.0
2015-08-20,1308.0
2015-08-21,1287.0
2015-08-22,1374.0
2015-08-23,2105.0
2015-08-24,1853.0
